Column Name,Label
DP04_0080PE,Percent!!VALUE!!Owner-occupied units
DP04_0081PE,"Percent!!VALUE!!Owner-occupied units!!Less than $50,000"
DP04_0082PE,"Percent!!VALUE!!Owner-occupied units!!$50,000 to $99,999"
DP04_0083PE,"Percent!!VALUE!!Owner-occupied units!!$100,000 to $149,999"
DP04_0084PE,"Percent!!VALUE!!Owner-occupied units!!$150,000 to $199,999"
DP04_0085PE,"Percent!!VALUE!!Owner-occupied units!!$200,000 to $299,999"
DP04_0086PE,"Percent!!VALUE!!Owner-occupied units!!$300,000 to $499,999"
DP04_0087PE,"Percent!!VALUE!!Owner-occupied units!!$500,000 to $999,999"
DP04_0088PE,"Percent!!VALUE!!Owner-occupied units!!$1,000,000 or more"
DP04_0089PE,Percent!!VALUE!!Owner-occupied units!!Median (dollars)
DP04_0090PE,Percent!!MORTGAGE STATUS!!Owner-occupied units
DP04_0091PE,Percent!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage
DP04_0092PE,Percent!!MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage
